,buy price,delta,gamma,theta,vega,rho,iv,rsi_10,rsi_20,rsi_30,dff1,dff2,sma_10,percentb,close price,win,win_loss
162,5.07,0.770106567,0.026124097,-1078.797916,0.201968133,0.031956805,0.224745756,46.3549688,57.25600907,60.3978714,-10.90104028,-3.141862333,-0.645,0.532682832,6.13,1.0599999999999996,1
163,4.94,0.824459263,0.022501857,-1060.410152,0.202000926,0.032649741,0.220863463,72.51782681,65.00792102,62.03369355,7.50990579,2.974227478,-0.645,0.916805478,4.63,-0.3100000000000005,0
164,3.54,0.972603579,0.006950485,-1075.993668,0.18287456,0.029835077,0.188287793,58.4617012,62.67618138,64.25445156,-4.214480178,-1.578270185,-0.058,0.756510264,4.43,0.8899999999999997,1
165,3.18,0.98670208,0.003910342,-1024.390904,0.181821769,0.030663537,0.1802667,78.89493975,72.12500941,68.10130875,6.769930337,4.023700664,-0.058,1.153210752,3.42,0.23999999999999977,1
169,4.41,0.707481061,0.03518047,-1201.202644,0.189870549,0.027011483,0.202530706,68.20090141,62.93517459,61.2372646,5.265726818,1.697909989,2.638,1.075219545,5.35,0.9399999999999995,1
170,4.15,0.776395812,0.031436722,-1164.531543,0.190002669,0.027639827,0.196193282,79.72244032,70.65394853,66.80246717,9.068491796,3.85148136,2.638,0.967838446,5.01,0.8599999999999994,1
171,3.73,0.835438238,0.027145335,-1113.791991,0.189978412,0.028297861,0.187646,60.88673897,58.7760902,58.27946126,2.110648772,0.496628941,2.638,0.855433506,4.29,0.56,1
173,4.9,0.539001338,0.035709558,-1047.1236,0.209253399,0.031233711,0.210549512,81.22466476,68.84162803,62.49207632,12.38303673,6.349551709,4.661,1.12966589,5.91,1.0099999999999998,1
174,4.7,0.63247327,0.036765581,-962.5629042,0.209875077,0.032302929,0.192929349,80.78787665,70.37439525,66.04363723,10.41348141,4.330758021,4.661,1.239339264,5.58,0.8799999999999999,1
185,5.51,0.995366558,0.002581834,-7023.490895,0.07558748,0.004969126,0.266377507,61.7794627,64.90687334,67.20869203,-3.127410635,-2.301818691,-8.113,0.901257714,5.13,-0.3799999999999999,0
186,5.23,0.615880891,0.038112449,-1236.691559,0.174020766,0.023962545,0.227315827,71.7326304,67.64518848,63.17335629,4.087441921,4.471832197,-9.542,0.813903748,3.62,-1.6100000000000003,0
188,3.37,0.944014316,0.012703675,-1490.205628,0.155507154,0.021338815,0.219372561,57.33669029,65.26334297,69.33360072,-7.926652683,-4.070257749,-7.807,0.635354512,4.08,0.71,1
196,4.92,0.996600513,0.005026227,-2784.683825,0.077569052,0.005476192,0.102832936,66.43780369,61.52636301,59.92778004,4.911440686,1.598582972,0.452,1.049048018,6.08,1.1600000000000001,1
197,4.86,0.635760407,0.036050677,-978.2573079,0.192381872,0.029394762,0.21365598,83.11645899,76.08407259,71.58608764,7.032386406,4.49798495,0.452,0.971696011,5.37,0.5099999999999998,1
198,4.64,0.819675162,0.029532549,-1087.114695,0.175984954,0.025957832,0.197478011,76.9443593,69.60597991,66.26718542,7.338379391,3.338794485,1.264,0.991574109,3.47,-1.1699999999999995,0
199,3.7,0.72940697,0.039383804,-1035.221846,0.179213196,0.025832077,0.184638604,66.57297774,63.90352942,62.16460482,2.669448319,1.7389246,3.069,0.969799278,3.51,-0.1900000000000004,0
200,3.04,0.850998072,0.037423262,-1063.799469,0.160256738,0.021577591,0.151815175,66.00521125,61.48510992,59.98762793,4.520101331,1.497481989,2.428,0.967623248,2.11,-0.9300000000000002,0
203,4.85,0.548237118,0.043608628,-1125.428473,0.175748983,0.024036093,0.204778444,76.04851567,64.83274634,58.96148979,11.21576933,5.871256546,0.476,0.978534254,5.93,1.08,1
204,5.06,0.593189079,0.035394616,-1030.372317,0.192607319,0.028979542,0.224820892,63.15140785,62.56029864,60.26920904,0.591109207,2.291089604,0.476,0.879754395,4.41,-0.6499999999999995,0
209,4.23,0.788647777,0.028422974,-946.9319932,0.194822494,0.031281966,0.204158385,80.90613903,72.85401552,69.55064368,8.052123503,3.303371848,0.545,1.137004222,5.11,0.8799999999999999,1
210,4.43,0.810169083,0.025276065,-995.0083383,0.194821326,0.031395833,0.214558882,74.57287128,66.55897636,62.78186164,8.013894918,3.777114723,0.545,0.984754156,5.38,0.9500000000000002,1
211,4.17,0.861802262,0.021172915,-961.265618,0.194708893,0.032159373,0.207360321,86.30520789,78.72365526,73.9453011,7.581552633,4.778354156,0.545,1.015242641,4.27,0.09999999999999964,1
212,4.33,0.949578295,0.011706941,-1062.590475,0.177058494,0.028060704,0.191790568,80.38137544,75.19822616,71.10062072,5.183149279,4.097605437,0.859,0.9272423,2.95,-1.38,0
213,3.49,0.654778834,0.047797549,-954.7018047,0.183795616,0.026172457,0.165979578,86.32704692,74.78782334,68.96908403,11.53922358,5.818739314,1.102,1.096820492,3.95,0.45999999999999996,1
220,4.83,0.801130015,0.027904418,-1221.538497,0.182049036,0.026497648,0.214565213,71.16357486,64.48456195,61.70279576,6.679012915,2.781766189,1.776,1.324965113,5.9,1.0700000000000003,1
221,4.68,0.626761698,0.036169313,-984.1460402,0.202611076,0.031001398,0.204058682,74.09006054,69.04237043,66.42325337,5.047690109,2.619117062,1.776,1.03250958,5.78,1.1000000000000005,1
222,4.5,0.699400918,0.033412353,-975.5911165,0.202875174,0.03169315,0.202000262,73.8205833,67.553735,65.39354088,6.266848303,2.160194115,1.776,0.991523365,4.1,-0.40000000000000036,0
224,2.67,0.98976887,0.004468789,-1013.051531,0.163345719,0.024702048,0.141508307,68.17713578,65.99123245,67.44863806,2.185903331,-1.457405617,3.227,0.804440396,1.81,-0.8599999999999999,0
231,2.37,0.924178756,0.032464697,-755.1243687,0.174064609,0.024783737,0.098792687,69.78747327,64.07054252,61.79206636,5.716930746,2.278476164,3.941,1.113968081,2.85,0.48,1
232,2.1,0.939665649,0.027138741,-755.2897182,0.173837106,0.025007773,0.098937057,75.43346625,72.36520334,69.29493098,3.068262917,3.070272358,3.941,1.066429733,2.56,0.45999999999999996,1
233,2.49,0.961800142,0.019581133,-723.1924947,0.173294215,0.025462559,0.09498351,70.00274725,70.21171997,69.1401782,-0.208972721,1.071541779,3.941,0.942066858,2.61,0.11999999999999966,1
235,3.47,0.74873069,0.046403487,-648.3199149,0.218260485,0.03572147,0.124158738,72.57310047,69.02942098,66.88297559,3.543679486,2.146445393,2.903,1.110769923,2.41,-1.06,0
238,3.99,0.79707655,0.043910162,-1109.301553,0.172420699,0.022854069,0.146924751,85.09325527,76.38660545,71.35923801,8.706649824,5.027367435,0.136,1.159382058,4.34,0.34999999999999964,1
243,5.19,0.032691863,0.037379028,-2719.559299,0.084535605,0.004966948,0.092113902,73.34838185,63.71611603,60.14803819,9.632265821,3.568077835,-0.68,1.01650561,4.04,-1.1500000000000004,0
255,4.95,0.697291416,0.038765457,-1111.39899,0.181436569,0.025813167,0.195589761,69.26064921,63.19446468,60.22269261,6.066184535,2.971772073,-6.137,1.192892671,6.01,1.0599999999999996,1
256,4.75,0.634517772,0.036415445,-971.8795612,0.20006845,0.030678404,0.203779968,74.34886222,66.75954123,63.04093342,7.58932099,3.718607811,-6.137,0.876023218,5.89,1.1399999999999997,1
257,4.69,0.71068053,0.033424846,-959.0754383,0.200327358,0.031413475,0.200798892,84.16946278,77.36522722,73.01410651,6.804235555,4.351120714,-6.137,1.030841462,4.89,0.1999999999999993,1
258,3.78,0.756107441,0.03587671,-1076.033887,0.182954758,0.026541364,0.187745071,58.42638079,56.62249471,54.87349967,1.803886087,1.748995035,-5.249,0.743655658,4.58,0.8000000000000003,1
259,3.97,0.81272539,0.031142415,-1059.172443,0.18296289,0.027060325,0.184764991,76.76881692,68.04788464,63.27173468,8.720932281,4.776149956,-5.249,0.90492538,4.77,0.7999999999999994,1
260,3.61,0.850951382,0.026546976,-1068.504654,0.182904478,0.027424316,0.186448436,68.48854145,66.15875516,64.27889574,2.329786292,1.87985942,-5.249,0.835241999,2.48,-1.13,0
261,3.06,0.984393688,0.005822657,-1122.702973,0.161943227,0.023957945,0.158293626,67.49517645,65.7700499,65.1300513,1.725126549,0.639998603,-3.716,0.877003183,2.14,-0.9199999999999999,0
269,5.97,0.183357684,0.072356571,-5102.551288,0.080449951,0.004741991,0.181753945,60.58886582,57.28017199,55.37585117,3.308693839,1.904320812,-0.867,0.828221712,7.18,1.21,1
270,5.95,0.60869138,0.028984814,-987.0981052,0.211790928,0.03433087,0.246443436,65.5134253,66.9597035,65.86022847,-1.446278197,1.099475028,-0.867,0.834497496,6.03,0.08000000000000007,1
282,5.88,0.675442124,0.030807495,-1432.880089,0.168349385,0.023113552,0.271880943,75.18026091,66.11742175,62.41570999,9.062839163,3.701711762,-8.531,0.930082658,7.18,1.2999999999999998,1
283,5.92,0.60972181,0.028890771,-1243.772716,0.18604074,0.027507166,0.280574001,77.69573678,70.38243626,65.87953881,7.313300528,4.502897446,-8.531,0.998403221,7.11,1.1900000000000004,1
284,5.27,0.680652055,0.027858919,-1197.132883,0.186557748,0.028229687,0.269226095,69.41341601,66.52362282,64.67170505,2.889793195,1.851917771,-8.531,0.983670485,5.14,-0.1299999999999999,0
286,3.76,0.818858738,0.043403954,-1045.412366,0.150276699,0.01995727,0.158712429,73.0757804,64.81690276,61.08631903,8.258877641,3.730583728,-5.379,1.242275735,3.76,0.0,0
287,5.45,0.854925889,0.051326434,-6094.3877,0.075025798,0.00468991,0.23276277,74.07479676,71.04691291,67.56716888,3.027883847,3.479744031,-5.14,0.943371277,6.66,1.21,1
288,5.39,0.613627931,0.031709975,-900.8203744,0.200317641,0.032630861,0.237401026,70.1183879,67.5316545,65.48365631,2.586733399,2.047998191,-5.14,0.868729453,5.26,-0.1299999999999999,0
