,buy price,delta,gamma,theta,vega,rho,iv,rsi_10,rsi_20,rsi_30,dff1,dff2,close price,win,win_loss
71,3.22,-0.578859463,0.043255923,-1567.08752,0.176968096,-0.025697158,0.203255071,37.12617281,41.13808064,43.49079954,-4.011907833,-2.352718893,2.25,-0.9700000000000002,0
72,6.51,-0.922819484,0.035298748,-5710.738335,0.087287982,-0.006585794,0.187661077,19.93088262,29.01815568,32.45732918,-9.087273066,-3.439173495,5.82,-0.6899999999999995,0
83,4.06,-0.027206428,0.014548157,-5885.054471,0.090413802,-0.005897974,0.186717868,28.32654996,33.05896415,35.39381807,-4.732414196,-2.334853921,2.84,-1.2199999999999998,0
86,2.78,0.955798352,0.016834293,-939.5259918,0.182457476,0.02638667,0.117997001,25.00269635,29.76791347,32.5507536,-4.765217128,-2.782840128,3.79,1.0100000000000002,1
87,2.31,-0.587305217,0.055227423,-876.4111367,0.211985204,-0.033544871,0.132756059,23.69577527,29.0447492,32.63750145,-5.34897393,-3.59275225,2.95,0.6400000000000001,1
88,1.82,-0.746839397,0.064546432,-863.5386044,0.187756575,-0.027245769,0.105679809,33.22843134,38.76673656,39.96548733,-5.538305212,-1.198750775,1.25,-0.5700000000000001,0
89,2.45,-0.746839397,0.064546432,-863.5386044,0.187756575,-0.027245769,0.105679809,28.10222964,36.01069223,39.01516633,-7.908462584,-3.004474101,3.02,0.5699999999999998,1
90,2.61,-0.50351602,0.053171324,-708.2817852,0.230145944,-0.039047453,0.129941527,28.56655276,32.65870227,34.67539302,-4.092149505,-2.016690755,3.51,0.8999999999999999,1
91,3.34,-0.805440774,0.040658426,-844.8777843,0.207198171,-0.034903913,0.130950771,21.01422341,30.41680069,35.10323872,-9.402577274,-4.686438037,2.33,-1.0099999999999998,0
93,3.06,-0.803610681,0.143874029,-2683.153281,0.092158408,-0.00648693,0.083539678,28.75484898,37.66138009,41.2376753,-8.906531115,-3.576295202,3.7,0.6400000000000001,1
94,3.36,-0.540300917,0.053809543,-696.898598,0.2243277,-0.038453541,0.131169403,25.47198715,30.99006798,33.26204142,-5.518080831,-2.271973439,4.2,0.8400000000000003,1
95,3.43,-0.529330249,0.040930996,-727.9360984,0.240939029,-0.045074384,0.160740162,21.60620245,30.69190472,33.91814622,-9.085702278,-3.226241493,5.23,1.8000000000000003,1
98,1.93,-0.258048607,0.047129654,-843.6116285,0.20355855,-0.029656257,0.13306254,29.79712052,37.46301488,40.29918718,-7.66589436,-2.836172301,1.34,-0.5899999999999999,0
101,2.41,-0.274560771,0.05643278,-1018.433395,0.18458301,-0.024243337,0.126733963,20.08656107,29.34220934,33.6308189,-9.255648272,-4.288609564,2.95,0.54,1
102,2.43,-0.473107972,0.051880985,-950.9403812,0.206838439,-0.032029797,0.147605092,32.66537682,32.94678096,34.33648772,-0.281404139,-1.389706759,3.05,0.6199999999999997,1
103,2.73,-0.500749185,0.050902822,-971.9898015,0.206224489,-0.032198898,0.151318483,26.59300319,34.25347558,36.26412317,-7.660472396,-2.010647583,3.28,0.5499999999999998,1
104,2.93,-0.517679503,0.050150506,-985.9191034,0.205655636,-0.032277419,0.153909357,24.487677,30.35318311,32.8613972,-5.865506109,-2.508214095,2.02,-0.9100000000000001,0
105,2.51,-0.88780646,0.029577321,-1127.722825,0.180545002,-0.027979654,0.143479193,29.96599182,33.26045573,33.8826599,-3.294463911,-0.622204177,3.06,0.5500000000000003,1
106,2.69,-0.519350419,0.054202204,-1274.346804,0.179720262,-0.025317372,0.162841373,19.85184137,32.80775621,36.94387716,-12.95591484,-4.136120946,3.25,0.56,1
107,2.74,-0.519974524,0.05329841,-1295.722776,0.17927654,-0.025291641,0.165980059,20.71288935,27.4250011,32.03485209,-6.712111743,-4.609850995,3.38,0.6399999999999997,1
108,2.55,-0.532126722,0.051764397,-1331.577381,0.178765831,-0.025340809,0.17105647,26.61791049,34.89247133,38.10027878,-8.274560844,-3.207807451,3.11,0.56,1
109,2.69,-0.487801479,0.049647746,-1390.235043,0.178055468,-0.025083811,0.179296151,24.39800064,34.5948243,37.54177731,-10.19682366,-2.946953015,3.27,0.5800000000000001,1
110,2.88,-0.499042578,0.048389443,-1427.136556,0.177549455,-0.025129655,0.184576174,16.98504198,25.16950654,29.68119284,-8.184464564,-4.511686299,1.99,-0.8899999999999999,0
111,5.56,-0.918006336,0.03242358,-6515.607282,0.087527644,-0.006668335,0.213541096,29.61423355,37.54700474,40.35716569,-7.932771196,-2.810160952,3.76,-1.7999999999999998,0
112,4.66,-0.367167827,0.027582725,-1273.52744,0.21302181,-0.036670666,0.252221449,48.62533707,44.86080389,45.81547721,3.764533174,-0.954673322,5.61,0.9500000000000002,1
113,5.17,-0.419983826,0.028115306,-1299.916738,0.21260724,-0.037230738,0.257948636,32.03315033,38.29475016,40.53491054,-6.261599826,-2.240160383,6.34,1.17,1
114,4.99,-0.490833834,0.028960624,-1292.024122,0.212051547,-0.037842792,0.257059399,19.44552011,31.16688697,36.44043292,-11.72136686,-5.273545953,5.61,0.6200000000000001,1
116,4.63,-0.576688555,0.030756076,-1574.844701,0.194231564,-0.032373226,0.260189259,26.62337416,37.42397422,41.1310801,-10.80060006,-3.707105881,3.19,-1.44,0
117,3.42,-0.369935128,0.036663126,-1769.648176,0.173535932,-0.024369748,0.234126724,30.61261861,32.82833664,37.13989549,-2.215718029,-4.311558849,4.14,0.7199999999999998,1
118,3.13,-0.440971523,0.041922616,-1623.823026,0.173389598,-0.024543153,0.215028352,38.07255705,37.54815292,38.54775461,0.524404131,-0.999601691,3.78,0.6499999999999999,1
119,3.26,-0.509587853,0.04468784,-1543.896996,0.173168145,-0.024776061,0.204714624,34.38204212,37.53128068,39.40629533,-3.149238556,-1.875014651,3.94,0.6800000000000002,1
120,3.04,-0.522810095,0.043800966,-1573.270366,0.172644624,-0.024820767,0.209239409,25.61403616,31.19498303,34.13201782,-5.580946875,-2.937034789,3.72,0.6800000000000002,1
121,3.39,-0.49964031,0.042016562,-1640.842299,0.171834085,-0.024683095,0.219248274,31.68757261,36.22571276,37.20443857,-4.538140152,-0.978725808,4.35,0.9599999999999995,1
122,6.73,-0.757411202,0.064185008,-6759.969321,0.085268188,-0.006334412,0.227416857,21.92107964,34.40071922,39.56901292,-12.47963958,-5.168293699,8.14,1.4100000000000001,1
123,6.56,-0.551398079,0.022463052,-1310.224855,0.222411673,-0.044738355,0.313193299,27.95456712,35.73783364,38.10166008,-7.783266517,-2.36382644,10.56,4.000000000000001,1
128,4.65,-0.513520267,0.030379342,-1618.794078,0.193710573,-0.031887238,0.268353979,38.50884187,35.8759185,35.97981531,2.632923365,-0.103896808,5.77,1.1199999999999992,1
130,5.3,-0.505371735,0.028642164,-1715.063983,0.191662248,-0.031745166,0.28732663,35.19071464,36.83151372,37.01179542,-1.640799081,-0.180281698,6.45,1.1500000000000004,1
131,5.36,-0.532998407,0.028356681,-1728.274724,0.190915624,-0.031887915,0.290670911,22.34193508,32.82649471,36.38316058,-10.48455963,-3.556665875,3.74,-1.62,0
