index,delta,gamma,theta,vega,rho,iv,rsi_10,rsi_20,rsi_30,dff1,dff2,sma_10,percentb,clopen,op_current,cl_current,win_loss
130,0.655517,0.038998,-892.440453,0.203261,0.031597,0.183478,85.943008,78.204876,75.184749,7.738132,3.020127,0.504,1.036167,0.998409,0.986223,0.984653,1.0
131,0.714779,0.036628,-874.109009,0.203405,0.032209,0.179518,78.458848,76.172133,74.411294,2.286714,1.760840,0.504,0.914393,0.998409,0.982624,0.981060,1.0
132,0.862887,0.027316,-751.125328,0.203052,0.034302,0.154195,88.388699,79.308302,74.895488,9.080397,4.412814,0.504,1.034218,0.998409,0.974185,0.972634,1.0
133,0.994642,0.004715,-550.634069,0.161869,0.025736,0.076720,75.383564,67.968000,63.277790,7.415564,4.690210,0.930,1.009618,1.010994,0.992365,1.003275,0.0
134,-0.507100,0.048220,-780.765305,0.199891,-0.034444,0.166411,88.366465,80.370211,75.052203,7.996254,5.318008,-1.292,1.032086,0.996907,0.992103,0.989035,1.0
135,0.699691,0.032476,-1320.538155,0.186404,0.026221,0.225847,86.644472,75.355839,69.075415,11.288634,6.280424,-0.601,1.254857,0.999627,0.992374,0.992004,0.0
136,0.722531,0.046728,-1903.879628,0.136493,0.014899,0.207083,73.269920,66.900288,63.725799,6.369632,3.174489,-4.139,1.034676,1.002374,0.992409,0.994765,0.0
137,0.814298,0.041850,-603.478629,0.194517,0.032518,0.129060,89.014836,78.028330,72.105276,10.986506,5.923054,-4.321,1.076611,0.992722,0.992132,0.984911,0.0
138,0.982472,0.011177,-470.677503,0.171436,0.029798,0.086410,80.438559,70.264709,64.902413,10.173850,5.362296,-2.022,1.245783,1.001947,0.992504,0.994436,0.0
139,0.808180,0.039527,-650.737842,0.192551,0.031958,0.140753,57.871582,60.550794,62.098510,-2.679212,-1.547716,-2.792,0.731389,0.992464,0.991794,0.984320,1.0
140,0.877174,0.031722,-601.114234,0.192048,0.033007,0.130174,86.718305,74.113808,68.257902,12.604497,5.855906,-2.792,0.981952,0.992464,0.988153,0.980707,0.0
141,0.705553,0.067716,-886.582892,0.160296,0.020914,1.258116e-01,73.043415,64.952150,62.379850,8.091265,2.572301,0.129,1.171007,0.992492,0.988902,0.981477,0.0
142,0.746351,0.088448,-455.565014,0.184667,0.027935,7.768925e-02,72.674745,64.884312,61.670143,7.790433,3.214169,2.179,1.024723,1.007283,0.989778,0.996986,1.0
143,0.817186,0.072037,-461.169046,0.184400,0.028534,7.874571e-02,87.881822,78.895383,73.273808,8.986439,5.621574,2.179,1.204699,1.007283,0.987496,0.994688,0.0
144,0.600440,0.095047,-712.220231,0.163596,0.021071,9.881171e-02,80.180264,67.653281,62.706544,12.526983,4.946737,2.601,1.202147,0.997434,0.991854,0.989309,1.0
145,0.661730,0.085767,-745.809252,0.163634,0.021322,1.034855e-01,82.576697,73.160082,68.062808,9.416615,5.097273,2.601,0.994916,0.997434,0.989989,0.987449,1.0
146,0.752563,0.077527,-711.646952,0.163602,0.021840,9.868811e-02,74.808882,66.408170,64.006378,8.400711,2.401793,2.601,1.167050,0.997434,0.987480,0.984946,1.0
147,0.824354,0.065837,-683.421077,0.163438,0.022320,9.479969e-02,82.996162,75.370743,71.414354,7.625419,3.956389,2.601,0.994563,0.997434,0.985308,0.982779,1.0
148,0.982923,0.011843,-4884.231700,0.081821,0.005477,1.709271e-01,71.077370,68.488040,67.032137,2.589330,1.455903,1.555,0.915508,0.999167,0.991914,0.991088,1.0
149,0.665792,0.047071,-1339.753172,0.165951,0.020960,1.841780e-01,83.062196,75.566078,72.020469,7.496118,3.545609,1.555,1.306170,0.999167,0.987932,0.987109,1.0
150,0.730271,0.043497,-1313.365551,0.166084,0.021330,1.803663e-01,73.396367,68.166268,65.248672,5.230099,2.917596,1.555,1.011889,0.999167,0.984642,0.983822,0.0
151,0.564544,0.083549,-2315.313637,0.117234,0.010308,1.596896e-01,74.554680,70.096000,66.968216,4.458680,3.127783,2.905,0.879275,1.011551,0.992424,1.003888,1.0
152,0.626078,0.052424,-687.558780,0.203346,0.031898,1.409161e-01,83.124287,72.793950,68.906678,10.330337,3.887272,2.905,1.206742,1.011551,0.989100,1.000525,0.0
153,0.722274,0.034470,-1200.752578,0.187959,0.026836,2.035135e-01,77.923461,69.656802,66.011129,8.266659,3.645674,1.081,1.131365,1.002961,0.992458,0.995396,1.0
154,0.596773,0.037913,-966.373990,0.207567,0.031630,1.946849e-01,68.712017,66.852737,64.837926,1.859280,2.014811,1.081,0.883802,1.002961,0.990662,0.993596,1.0
155,0.691472,0.035757,-928.544835,0.207942,0.032610,1.866165e-01,77.224963,70.753664,68.081271,6.471299,2.672393,1.081,0.988538,1.002961,0.984861,0.987777,1.0
