index,delta,gamma,theta,vega,rho,iv,rsi_10,rsi_20,rsi_30,dff1,dff2,sma_10,percentb,clopen,op_current,cl_current,win_loss
65,-0.490834,0.028961,-1292.024122,0.212052,-0.037843,0.257059,19.445520,31.166887,36.440433,-11.721367,-5.273546,-3.119,-0.131660,1.006625,1.018251,1.024996,1.0
66,-0.576689,0.030756,-1574.844701,0.194232,-0.032373,0.260189,26.623374,37.423974,41.131080,-10.800600,-3.707106,-4.288,-0.011117,0.986851,1.010805,0.997514,0.0
67,-0.369935,0.036663,-1769.648176,0.173536,-0.024370,0.234127,30.612619,32.828337,37.139895,-2.215718,-4.311559,-4.484,0.137807,1.010249,1.007638,1.017965,1.0
68,-0.440972,0.041923,-1623.823026,0.173390,-0.024543,0.215028,38.072557,37.548153,38.547755,0.524404,-0.999602,-4.484,0.135914,1.010249,1.012432,1.022808,1.0
69,-0.509588,0.044688,-1543.896996,0.173168,-0.024776,0.204715,34.382042,37.531281,39.406295,-3.149239,-1.875015,-4.484,0.066234,1.010249,1.016320,1.026736,1.0
70,-0.522810,0.043801,-1573.270366,0.172645,-0.024821,0.209239,25.614036,31.194983,34.132018,-5.580947,-2.937035,-4.484,-0.017553,1.010249,1.019525,1.029974,1.0
71,-0.499640,0.042017,-1640.842299,0.171834,-0.024683,0.219248,31.687573,36.225713,37.204439,-4.538140,-0.978726,-4.484,0.036365,1.010249,1.023171,1.033657,1.0
72,-0.757411,0.064185,-6759.969321,0.085268,-0.006334,0.227417,21.921080,34.400719,39.569013,-12.479640,-5.168294,-3.652,-0.058316,0.997917,1.008082,1.005982,1.0
73,-0.551398,0.022463,-1310.224855,0.222412,-0.044738,0.313193,27.954567,35.737834,38.101660,-7.783267,-2.363826,-3.652,-0.095296,0.997917,1.016146,1.014029,1.0
74,-0.513520,0.030379,-1618.794078,0.193711,-0.031887,0.268354,38.508842,35.875918,35.979815,2.632923,-0.103897,-5.215,0.210354,1.011218,1.014344,1.025723,1.0
75,-0.505372,0.028642,-1715.063983,0.191662,-0.031745,0.287327,35.190715,36.831514,37.011795,-1.640799,-0.180282,-5.215,0.042230,1.011218,1.023569,1.035052,1.0
76,-0.532998,0.028357,-1728.274724,0.190916,-0.031888,0.290671,22.341935,32.826495,36.383161,-10.484560,-3.556666,-5.215,-0.035360,1.011218,1.028481,1.040019,0.0
77,-0.929314,0.020925,-9021.408931,0.083750,-0.006678,0.309028,30.996225,36.125376,37.679958,-5.129151,-1.554582,-3.990,0.063399,1.014752,1.007681,1.022547,1.0
78,-0.517694,0.022721,-1301.959555,0.218408,-0.043564,0.317193,29.834721,35.961732,38.015096,-6.127011,-2.053364,-3.990,-0.054026,1.014752,1.013983,1.028942,1.0
79,-0.403411,0.025224,-1428.756787,0.202591,-0.035918,0.297728,38.993483,44.134928,47.512615,-5.141445,-3.377687,-3.895,0.123180,0.981173,1.008499,0.989513,1.0
80,-0.465165,0.025909,-1432.626680,0.202038,-0.036462,0.299357,18.173574,30.168580,36.981902,-11.995006,-6.813322,-3.895,-0.019061,0.981173,1.014550,0.995450,1.0
81,-0.528083,0.025862,-1441.497020,0.201375,-0.037022,0.302207,28.909571,32.923352,35.782930,-4.013781,-2.859578,-3.895,-0.028754,0.981173,1.020752,1.001534,1.0
82,-0.538728,0.025746,-1445.277188,0.200209,-0.036958,0.304761,27.832524,37.748461,40.851885,-9.915936,-3.103425,-3.895,-0.033195,0.981173,1.027003,1.007668,0.0
83,-0.502421,0.033040,-1134.582011,0.204627,-0.036272,0.234172,16.028535,28.626472,36.284710,-12.597938,-7.658238,-4.575,-0.036979,0.984910,1.008766,0.993543,0.0
84,-0.563320,0.037464,-1302.393114,0.186038,-0.030433,0.224867,30.902704,36.218551,38.166664,-5.315846,-1.948113,-2.467,-0.040406,1.012422,1.007935,1.020456,1.0
85,-0.544970,0.030978,-1203.426937,0.202514,-0.036580,0.250948,27.064748,31.249262,34.189800,-4.184514,-2.940538,-2.467,0.070575,1.012422,1.012604,1.025183,1.0
86,-0.534660,0.030424,-1227.485069,0.200474,-0.036229,0.258556,20.909900,31.566518,36.033605,-10.656618,-4.467087,-2.467,0.017739,1.012422,1.022099,1.034796,1.0
87,-0.523295,0.029662,-1260.402088,0.199445,-0.036060,0.266844,31.674976,32.960200,34.870603,-1.285224,-1.910403,-2.467,0.129473,1.012422,1.026417,1.039167,0.0
88,-0.587533,0.042049,-1603.583549,0.162144,-0.023833,0.227226,32.465293,38.770958,41.680318,-6.305664,-2.909361,-4.526,-0.028901,0.991018,1.008186,0.999130,1.0
89,-0.522332,0.041131,-1672.884152,0.161150,-0.023455,0.238491,17.816792,28.189910,33.775950,-10.373119,-5.586040,-4.526,-0.034704,0.991018,1.012078,1.002987,1.0
90,-0.487414,0.040104,-1714.766321,0.160432,-0.023241,0.245545,28.729559,29.233177,32.395749,-0.503618,-3.162573,-4.526,0.167112,0.991018,1.015085,1.005967,1.0
91,-0.496795,0.038855,-1770.345798,0.159880,-0.023297,0.254370,30.895971,29.646587,31.405146,1.249384,-1.758559,-4.526,0.142896,0.991018,1.018346,1.009199,1.0
92,-0.529747,0.040734,-1687.110358,0.159405,-0.023286,0.243148,28.645696,33.850408,36.167201,-5.204712,-2.316792,-4.526,-0.107216,0.991018,1.023118,1.013928,1.0
93,-0.500989,0.040042,-1718.767455,0.158671,-0.023088,0.248846,29.678168,34.117470,36.225002,-4.439303,-2.107531,-4.526,-0.015856,0.991018,1.026593,1.017372,1.0
94,-0.505867,0.040259,-1709.711925,0.158238,-0.023043,0.248214,40.468756,40.378106,40.438151,0.090650,-0.060045,-4.526,0.160912,0.991018,1.029605,1.020357,0.0
95,-0.683156,0.027794,-961.955365,0.214386,-0.043500,0.238902,49.588128,41.705244,38.673045,7.882883,3.032200,-4.606,0.426958,1.010540,1.010861,1.021515,0.0
96,0.986702,0.003910,-1024.390904,0.181822,0.030664,0.180267,38.752587,35.515473,37.138962,3.237115,-1.623490,2.651,0.275853,0.993599,1.011931,1.005454,1.0
97,-0.536518,0.033684,-1110.245997,0.208015,-0.037076,0.225436,27.000416,34.416297,36.887956,-7.415881,-2.471659,2.651,-0.016998,0.993599,1.016883,1.010375,1.0
98,-0.510974,0.033406,-1122.443464,0.207165,-0.036723,0.228838,44.971473,45.162571,45.529692,-0.191098,-0.367122,2.651,0.218749,0.993599,1.020003,1.013474,0.0
99,-0.086737,0.043656,-4971.852958,0.084979,-0.005633,0.167872,25.556786,31.386528,34.448088,-5.829742,-3.061560,2.680,-0.065215,0.988896,1.007964,0.996771,1.0
100,-0.722879,0.045200,-1290.999931,0.169707,-0.025204,0.174856,26.404871,31.302799,33.809477,-4.897927,-2.506679,4.098,-0.302197,1.003735,1.007897,1.011661,1.0
101,-0.481949,0.038398,-1282.282752,0.188027,-0.030069,0.219054,16.275986,23.135432,27.016972,-6.859445,-3.881540,4.098,0.043637,1.003735,1.010856,1.014631,1.0
102,-0.929433,0.015813,-1515.942700,0.163057,-0.026691,0.213659,49.955798,39.211269,34.752357,10.744529,4.458912,3.615,0.424733,1.016587,1.010285,1.027042,0.0
103,-0.529970,0.021926,-1344.254580,0.204016,-0.041450,0.350552,35.180090,38.662951,40.553037,-3.482860,-1.890086,-1.144,0.146083,0.994801,1.007564,1.002325,1.0
104,-0.536697,0.022898,-1287.071547,0.202540,-0.041007,0.338104,17.549040,26.708957,31.766382,-9.159917,-5.057425,-1.144,-0.097678,0.994801,1.016256,1.010972,0.0
105,-0.395837,0.023291,-1532.203196,0.187335,-0.033828,0.345221,17.879267,26.057255,30.163604,-8.177988,-4.106349,-5.577,-0.425778,0.991803,1.008103,0.999840,0.0
106,-0.619487,0.023618,-1514.016626,0.186448,-0.035822,0.343150,34.480193,40.695317,41.486564,-6.215124,-0.791248,-7.932,0.160380,1.023482,1.007862,1.031528,1.0
107,-0.534264,0.026215,-1418.432439,0.184789,-0.034362,0.324391,43.311005,40.912090,41.130473,2.398914,-0.218383,-7.932,0.204362,1.023482,1.014263,1.038079,1.0
108,-0.523464,0.054035,-913.906812,0.169160,-0.026807,0.173890,22.680162,28.299206,33.072444,-5.619043,-4.773238,-6.945,0.051785,1.001037,1.007842,1.008888,0.0
