Date,residuals,dow,month,dom,yest_volume,yest_p_diff,CNN-2,CNN-dif-2,y_lag_1,y_lag_2,y_lag_3,y_lag_4,y_lag_5,y_lag_6
2022-12-23,-1.6172951126098383,4,12,23,51638180.0,-0.0036444677503934013,37.0,-2.0,-6.83621147155759,3.4684395599365416,-0.3038072204589639,-4.722822647094745,-8.042121391296405,-10.28183471679688
2022-12-27,-3.9197956085205305,1,12,27,70911520.0,-0.012398449530080069,40.0,3.0,-1.6172951126098383,-6.83621147155759,3.4684395599365416,-0.3038072204589639,-4.722822647094745,-8.042121391296405
2022-12-28,-7.903397407531713,2,12,28,66970880.0,0.009936365533069065,40.0,0.0,-3.9197956085205305,-1.6172951126098383,-6.83621147155759,3.4684395599365416,-0.3038072204589639,-4.722822647094745
2022-12-29,3.4706978225707985,3,12,29,84022210.0,0.004680595141594594,36.0,-4.0,-7.903397407531713,-3.9197956085205305,-1.6172951126098383,-6.83621147155759,3.4684395599365416,-0.3038072204589639
2022-12-30,-2.918360061645501,4,12,30,74850730.0,-0.009321989391313512,37.0,1.0,3.4706978225707985,-7.903397407531713,-3.9197956085205305,-1.6172951126098383,-6.83621147155759,3.4684395599365416
2023-01-03,-5.710382156372077,1,1,3,85934100.0,0.001511361267458787,37.0,0.0,-2.918360061645501,3.4706978225707985,-7.903397407531713,-3.9197956085205305,-1.6172951126098383,-6.83621147155759
2023-01-04,-0.8741171264648528,2,1,4,76970460.0,-0.0061679582476673305,37.0,0.0,-5.710382156372077,-2.918360061645501,3.4706978225707985,-7.903397407531713,-3.9197956085205305,-1.6172951126098383
2023-01-05,-9.481718177795415,3,1,5,104189600.0,0.014095031952174734,40.0,3.0,-0.8741171264648528,-5.710382156372077,-2.918360061645501,3.4706978225707985,-7.903397407531713,-3.9197956085205305
2023-01-06,4.933690147399886,4,1,6,73978070.0,-0.006471407208786652,44.0,4.0,-9.481718177795415,-0.8741171264648528,-5.710382156372077,-2.918360061645501,3.4706978225707985,-7.903397407531713
2023-01-09,-3.0527359390258653,0,1,9,65358090.0,0.008525782170105956,46.0,2.0,4.933690147399886,-9.481718177795415,-0.8741171264648528,-5.710382156372077,-2.918360061645501,3.4706978225707985
2023-01-10,0.2521382141113122,1,1,10,68881080.0,0.008318163430420621,47.0,1.0,-3.0527359390258653,4.933690147399886,-9.481718177795415,-0.8741171264648528,-5.710382156372077,-2.918360061645501
2023-01-11,3.6511969757079896,2,1,11,90157700.0,0.0007305521966947895,50.0,3.0,0.2521382141113122,-3.0527359390258653,4.933690147399886,-9.481718177795415,-0.8741171264648528,-5.710382156372077
2023-01-12,-0.7650137329101767,3,1,12,63903930.0,0.012245922208281043,54.0,4.0,3.6511969757079896,0.2521382141113122,-3.0527359390258653,4.933690147399886,-9.481718177795415,-0.8741171264648528
2023-01-13,-0.04368877410888672,4,1,13,62677280.0,-0.0017849511023959484,57.0,3.0,-0.7650137329101767,3.6511969757079896,0.2521382141113122,-3.0527359390258653,4.933690147399886,-9.481718177795415
2023-01-17,-3.2959141540527526,1,1,17,99632260.0,-0.01920866433369941,61.0,4.0,-0.04368877410888672,-0.7650137329101767,3.6511969757079896,0.2521382141113122,-3.0527359390258653,4.933690147399886
2023-01-18,-7.110029945373526,2,1,18,86958920.0,-0.0018526142445451504,64.0,3.0,-3.2959141540527526,-0.04368877410888672,-0.7650137329101767,3.6511969757079896,0.2521382141113122,-3.0527359390258653
2023-01-19,-4.598284111022963,3,1,19,91806360.0,0.01460038395473369,58.0,-6.0,-7.110029945373526,-3.2959141540527526,-0.04368877410888672,-0.7650137329101767,3.6511969757079896,0.2521382141113122
2023-01-20,5.875987892150874,4,1,20,84178800.0,0.009759628584978579,55.0,-3.0,-4.598284111022963,-7.110029945373526,-3.2959141540527526,-0.04368877410888672,-0.7650137329101767,3.6511969757079896
2023-01-23,4.768089179992671,0,1,23,59524910.0,0.003298350824587689,59.0,4.0,5.875987892150874,-4.598284111022963,-7.110029945373526,-3.2959141540527526,-0.04368877410888672,-0.7650137329101767
2023-01-24,-1.7836540222168082,1,1,24,84800250.0,0.010990383414512386,64.0,5.0,4.768089179992671,5.875987892150874,-4.598284111022963,-7.110029945373526,-3.2959141540527526,-0.04368877410888672
