date,open,high,low,close,volume
5/1/2019,274.7139,274.9282,271.9921,272.0014,71671870
5/2/2019,271.8802,272.831,269.8668,271.4142,65030170
5/3/2019,272.9428,274.3596,271.5258,274.0707,56516723
5/6/2019,269.6152,273.3996,269.2889,272.9428,107198069
5/7/2019,270.4541,271.0693,266.4087,268.3848,144563154
5/8/2019,268.0119,269.7829,267.3967,268.0119,91512947
5/9/2019,265.868,267.8255,264.0691,267.201,103471104
5/10/2019,266.2316,269.3262,263.1369,268.5432,112380054
5/13/2019,263.2488,264.2462,260.9278,261.7947,127290527
5/14/2019,262.848,265.7469,262.7175,264.1623,76954311
5/15/2019,262.4751,266.3714,262.2608,265.7096,73861158
5/16/2019,266.4366,269.5779,266.3621,268.1704,76684778
5/17/2019,265.7842,269.0093,265.7662,266.4366,100353024
5/20/2019,264.7775,266.0545,263.9013,264.6749,62775223
5/21/2019,266.4273,267.4527,266.1663,267.0612,46847085
5/22/2019,266.0731,267.2289,265.7469,266.2409,49415848
5/23/2019,263.9386,263.9852,261.5244,262.9878,98662584
5/24/2019,264.4792,264.908,262.9412,263.5844,55268095
5/28/2019,263.8733,264.8614,261.1142,261.1329,70029356
5/29/2019,259.9771,260.3965,257.9264,259.3805,104972927
5/30/2019,260.1635,261.0304,258.9471,260.0889,61259925
5/31/2019,257.451,258.3086,256.5562,256.5842,86758995
6/3/2019,256.6214,257.7792,254.5521,255.9317,96299769
6/4/2019,258.3086,261.6269,257.8425,261.4871,77124332
6/5/2019,263.1649,263.7801,261.2913,263.7521,71169717
6/6/2019,264.0597,266.1663,263.3886,265.4672,69370887
6/7/2019,266.5205,269.2423,266.3434,268.1238,74234655
6/10/2019,269.727,271.0786,269.2641,269.3542,60723460
6/11/2019,271.237,271.6192,268.6183,269.2889,58601045
6/12/2019,269.0466,269.6245,268.2776,268.8135,47058443
6/13/2019,269.755,270.2956,269.0279,269.9228,48894632
6/14/2019,269.6245,270.249,268.8322,269.6245,52324716
6/17/2019,269.8668,270.5193,269.5499,269.727,39142877
6/18/2019,271.6099,273.6419,271.237,272.5513,85244302
6/19/2019,272.6912,273.7165,271.6845,273.1665,78519949
6/20/2019,275.9442,276.1953,273.2276,275.7765,116489283
6/21/2019,275.4989,276.8009,275.1523,275.3771,83309466
6/24/2019,275.5926,275.9204,274.8807,275.0399,47562557
6/25/2019,275.0961,275.1242,272.23,272.3424,81834041
6/26/2019,273.2697,273.7942,271.9537,272.0707,51584902
6/27/2019,272.8575,273.56,272.4641,273.0355,40256887
6/28/2019,274.0471,274.9556,273.5132,274.4405,59255834
7/1/2019,277.8874,278.1122,275.6862,276.932,78867575
7/2/2019,276.8852,277.7094,276.0141,277.6532,61504544
7/3/2019,278.3557,279.8918,278.2058,279.8731,40898896
7/5/2019,278.5992,279.7232,277.2598,279.5546,51657416
7/8/2019,278.1965,279.3653,277.4565,278.0185,45841772
7/9/2019,276.8196,278.6742,276.7634,278.3651,41068189
7/10/2019,279.4703,280.6786,278.9177,279.6951,58547783
7/11/2019,280.3602,280.6037,279.3111,280.3508,50832063
7/12/2019,280.8566,281.6808,280.5381,281.6059,40335336
7/15/2019,282.0555,282.0555,281.1751,281.6996,33910261
7/16/2019,281.6059,281.8213,280.4726,280.7255,40533990
7/17/2019,280.7629,280.9315,278.8802,278.8802,43952969
7/18/2019,278.3651,280.2946,277.9061,279.9012,51589195
7/19/2019,281.0346,281.0627,278.1497,278.3463,70991785
7/22/2019,278.7585,279.5921,278.2246,279.0301,43652365
7/23/2019,280.1916,281.0252,279.3298,281.0252,44601745
7/24/2019,280.2384,282.3459,280.1447,282.3459,47213232
7/25/2019,281.8775,281.9337,280.1635,280.9971,55378544
7/26/2019,281.7089,283.0858,281.5778,282.8798,45022816
7/29/2019,282.758,282.8048,281.7932,282.3646,38091054
7/30/2019,280.9128,282.093,280.5194,281.6715,45813578
7/31/2019,281.9244,282.1211,276.5011,278.5899,104245162
8/1/2019,278.7491,281.812,275.3397,276.1639,142531739
8/2/2019,275.2366,275.4895,272.4735,274.0846,116724483
8/5/2019,269.8415,269.9539,263.875,265.842,177891127
8/6/2019,267.7996,269.7947,266.2728,269.5699,120521001
8/7/2019,266.3852,270.5253,264.1747,269.7291,140409925
8/8/2019,271.2746,275.0212,270.7032,275.0212,87460322
8/9/2019,274.0471,274.6653,271.3027,273.1479,93702071
8/12/2019,271.5931,273.134,268.8393,269.8696,75230899
8/13/2019,269.5137,275.5176,269.1577,274.019,94713738
8/14/2019,269.8228,273.9388,265.7858,265.9169,135369567
8/15/2019,266.8348,267.5467,264.5026,266.6194,101929845
8/16/2019,268.3335,271.003,266.6792,270.5534,85808933
8/19/2019,273.6818,274.5154,272.9793,273.8129,53583732
8/20/2019,273.2884,273.841,271.5837,271.7148,51614878
8/21/2019,273.9534,274.3094,273.2416,273.9253,49565853
8/22/2019,274.6559,275.3116,272.0052,273.841,51698543
8/23/2019,272.4922,274.2157,265.5141,266.8067,149217157
8/26/2019,269.0734,269.7572,267.4905,269.7572,72478929
8/27/2019,271.1997,271.5837,267.912,268.6988,68262998
8/28/2019,268.015,270.7594,267.1814,270.5908,59852324
8/29/2019,273.2416,274.5904,272.2019,274.0471,57913188
8/30/2019,275.5832,275.6018,272.9606,273.9279,62831109
9/3/2019,272.1644,273.1104,270.9468,272.333,69078772
9/4/2019,274.5716,275.4287,273.7942,275.349,46813644
9/5/2019,277.9904,279.9012,275.3781,278.8896,83197295
9/6/2019,279.283,279.8356,278.5805,279.1706,49510922
9/9/2019,280.1916,280.2852,278.337,279.3111,51086154
9/10/2019,278.5243,279.3111,277.2224,279.2455,57698673
9/11/2019,279.564,281.3156,278.8896,281.2313,68008165
9/12/2019,282.1679,283.3013,281.3811,282.2054,72546530
9/13/2019,282.6643,283.0296,281.634,282.018,62053458
9/16/2019,280.8472,282.0628,280.4819,281.147,57934320
9/17/2019,280.9409,281.9525,280.7629,281.8588,42770135
9/18/2019,281.456,282.1398,279.3486,282.0274,73875018
9/19/2019,282.4302,283.4605,281.6624,282.0087,77933334
9/20/2019,282.6393,282.931,279.8633,280.682,96939851
9/23/2019,279.9951,281.3595,279.7316,280.6161,47134009
9/24/2019,281.7453,282.15,277.4167,278.4142,97160127
9/25/2019,278.4989,280.522,276.9651,280.061,73267803
9/26/2019,280.0704,280.2868,278.019,279.4775,58594707
9/27/2019,280.2586,280.3682,276.3628,277.9719,84755721
9/30/2019,278.5083,279.9951,278.4613,279.2611,52438861
10/1/2019,280.1739,280.8467,275.7135,275.9394,89425082
10/2/2019,274.302,274.3114,269.7288,271.065,124208927
10/3/2019,270.8297,273.314,268.0161,273.2857,85718095
10/4/2019,273.9633,277.2474,273.6621,276.9839,66737063
10/7/2019,276.1558,277.8402,275.4971,275.7888,60549809
10/8/2019,273.8692,274.6314,271.4696,271.5072,101367099
10/9/2019,273.5963,275.0548,271.6257,274.0856,64341784
10/10/2019,274.0009,276.8521,273.8315,275.9394,54459839
10/11/2019,278.7906,281.1149,278.6728,278.8,101099695
10/14/2019,278.4707,279.167,278.1319,278.4895,40467320
10/15/2019,279.5716,282.0182,279.4493,281.2466,48123837
10/16/2019,280.7667,281.5101,280.3433,280.7949,50293197
10/17/2019,281.9994,282.5264,280.9031,281.623,46676445
10/18/2019,281.0678,281.7312,279.4681,280.3903,64293228
10/21/2019,281.7548,282.4981,281.2984,282.2911,39388285
10/22/2019,282.8463,283.1474,281.2748,281.3689,49028214
10/23/2019,281.1055,282.2441,280.8843,282.1876,34857719
10/24/2019,283.1568,283.3074,281.7925,282.6487,35688865
10/25/2019,282.0559,284.3707,282,283.8061,45145150
10/28/2019,285.0671,285.9234,285.0389,285.4058,42076051
10/29/2019,285.1236,286.281,284.9918,285.3212,44201626
10/30/2019,285.5282,286.5821,284.1731,286.1963,49542312
10/31/2019,286.1869,286.1869,283.9285,285.4341,68955393
11/1/2019,286.9265,288.1253,286.7609,288.0783,71071915
11/4/2019,289.6874,289.8286,288.8499,289.2357,60270655
11/5/2019,289.4427,289.7528,288.6147,288.9158,42809998
11/6/2019,288.9158,289.264,288.003,288.9817,46402927
11/7/2019,290.3704,291.3812,289.5086,289.9979,53823043
11/8/2019,289.6404,290.7729,288.9158,290.7131,49019213
11/11/2019,289.2828,290.3367,289.1416,290.1579,35775777
11/12/2019,290.5343,291.7011,289.9697,290.7696,46141997
11/13/2019,289.7439,291.2777,289.5086,290.8637,54261698
11/14/2019,290.5719,291.3718,289.9132,291.2871,51148052
11/15/2019,292.6704,293.442,291.9552,293.3949,61990853
11/18/2019,293.1503,293.856,292.6798,293.6114,49285964
11/19/2019,294.2324,294.2419,292.8586,293.5267,67663099
11/20/2019,292.915,293.4514,290.826,292.4351,79200298
11/21/2019,292.548,292.661,291.1365,291.9646,54403450
11/22/2019,292.7362,292.8774,291.5694,292.6139,44803329
11/25/2019,293.5737,294.8817,293.5737,294.8817,48606151
11/26/2019,294.9194,295.738,294.59,295.5498,37515200
11/27/2019,296.0486,296.8672,295.8227,296.8672,44260649
11/29/2019,296.2838,296.5379,295.531,295.7663,36592740
12/2/2019,296.0298,296.0956,292.8115,293.2538,75719967
12/3/2019,290.4402,291.3718,289.0099,291.2871,74784721
12/4/2019,292.3693,293.7055,292.0117,293.0844,49007961
12/5/2019,293.809,293.8278,292.2563,293.6114,40657041
12/6/2019,295.5781,296.7073,295.5781,296.2932,48926121
12/9/2019,295.8886,296.5849,295.2864,295.3616,34788380
12/10/2019,295.3052,295.9921,294.3548,295.0323,52609340
12/11/2019,295.5028,296.1333,295.0334,295.8698,46889653
12/12/2019,295.8792,299.2292,295.6345,298.4199,96035635
12/13/2019,298.1752,299.869,297.3754,298.5987,81489263
12/16/2019,300.349,301.2617,298.5368,300.6501,82723814
12/17/2019,301.0453,301.3558,300.6313,300.7159,61062693
12/18/2019,301.1206,301.3558,300.6783,300.7348,48721894
12/19/2019,300.9323,302.0428,300.6732,301.9675,85248597
12/20/2019,303.0296,304.4614,302.0152,303.2849,149214080
12/23/2019,304.0981,304.1548,303.5969,303.7482,52980805
12/24/2019,303.9846,304.0319,303.4456,303.7577,20270007
12/26/2019,304.1548,305.3841,304.1454,305.3747,30854382
12/27/2019,306.1312,306.1879,304.7506,305.299,42523486
12/30/2019,305.3841,305.526,303.1147,303.6158,49652827
12/31/2019,303.0958,304.6087,302.7364,304.3534,57059907
1/2/2020,305.942,307.2186,304.987,307.1997,59037072
1/3/2020,303.6915,306.0366,303.6348,304.8735,77708081
1/6/2020,303.0579,306.1217,302.935,306.0366,55596982
1/7/2020,305.4503,305.942,304.7127,305.1761,40461249
1/8/2020,305.3747,308.0602,305.1194,306.8025,68177241
1/9/2020,308.4101,308.9585,307.8143,308.8829,48421935
1/10/2020,309.488,309.6488,307.5117,307.994,53028660
1/13/2020,308.637,310.1216,308.1926,310.1122,47026115
1/14/2020,309.6583,310.7457,309.0663,309.6394,62784185
1/15/2020,309.5448,311.124,309.4597,310.3391,71870739
